lib_names	genotype	woodtype	GA	year	MFA	Crystalinity	Fiber_length	Fiber_width	Sol..Lignin	Insol..Lignin	Total.Lignin	Arabinose	Rhamnose	Galactose	Glucose	Xylose	Mannose	Total.Carbohydrates
VFAG02E	miRNA2	TW	NoGA	1	17.925	58.60092	0.4736667	17.7	3.735671	12.7924	16.52807	0.4962726	0.5361404	3.8012034	53.68609	15.47933	0.7553044	74.75434
VFAG02F	717	N	NoGA	1	56.99569	44.75483	0.4751667	17.69167	3.928371	15.55434	19.48271	0.3844424	0.4915248	0.8158841	42.86363	17.78307	1.3077731	63.64632
VFAG03A	35SARK2	TW	NoGA	1	18.84337	49.79213	0.4633333	16.98333	3.330532	16.58571	19.91624	0.4040963	0.4420081	1.8742401	48.87582	12.20675	1.5330817	65.33599
VFAG03B	717	OW	NoGA	1	53.54181	44.24238	0.4965	18.56667	3.945536	18.81488	22.76042	0.3473348	0.4374237	0.7277412	44.90296	18.06366	1.7949948	66.27412
VFAG03C	35SARK2	N	NoGA	1	53.61369	45.12814	0.4806	16.38	3.352635	17.82605	21.17868	0.3851678	0.4969991	1.1583377	42.88225	14.66895	1.4705882	61.06229
VFAG03D	miRNA2	OW	NoGA	1	50.22769	46.16444	0.4845	16.95	3.816605	17.06031	20.87691	0.4003087	0.4883027	0.9032302	47.90767	18.24838	1.5933166	69.54121
VFAG03E	35SARK2	TW	NoGA	1	18.84337	49.79213	0.4633333	16.98333	3.330532	16.58571	19.91624	0.4040963	0.4420081	1.8742401	48.87582	12.20675	1.5330817	65.33599
VFAG03F	miRNA2	N	NoGA	1	63.89145	46.00535	0.4882	17.44	3.962328	14.79465	18.75698	0.3780295	0.4566275	1.0526328	44.60466	17.76335	1.1404523	65.39575
VFAG04A	35SARK2	OW	NoGA	1	51.54535	42.71239	0.4621667	17.35	4.030322	20.04258	24.0729	0.3392393	0.4241086	0.9003408	41.23321	13.36222	1.8085029	58.06762
VFAG04B	35SARK2	N	NoGA	1	53.61369	45.12814	0.4806	16.38	3.352635	17.82605	21.17868	0.3851678	0.4969991	1.1583377	42.88225	14.66895	1.4705882	61.06229
VFAG04C	miRNA2	N	NoGA	1	63.89145	46.00535	0.4882	17.44	3.962328	14.79465	18.75698	0.3780295	0.4566275	1.0526328	44.60466	17.76335	1.1404523	65.39575
VFAG04D	35SARK2	OW	NoGA	1	51.54535	42.71239	0.4621667	17.35	4.030322	20.04258	24.0729	0.3392393	0.4241086	0.9003408	41.23321	13.36222	1.8085029	58.06762
VFAG04E	miRNA2	N	NoGA	1	63.89145	46.00535	0.4882	17.44	3.962328	14.79465	18.75698	0.3780295	0.4566275	1.0526328	44.60466	17.76335	1.1404523	65.39575
VFAG04F	717	N	NoGA	1	56.99569	44.75483	0.4751667	17.69167	3.928371	15.55434	19.48271	0.3844424	0.4915248	0.8158841	42.86363	17.78307	1.3077731	63.64632
ATG301A	miRNA2	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG301B	35SARK2	TW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG301C	717	N	NoGA	2	56.99569	44.75483	0.4751667	17.69167	3.928371	15.55434	19.48271	0.3844424	0.4915248	0.8158841	42.86363	17.78307	1.3077731	63.64632
ATG301D	717	TW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG301E	35SARK2	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG301F	35SARK2	N	NoGA	2	53.61369	45.12814	0.4806	16.38	3.352635	17.82605	21.17868	0.3851678	0.4969991	1.1583377	42.88225	14.66895	1.4705882	61.06229
ATG301G	35SARK2	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG302A	717	N	NoGA	2	56.99569	44.75483	0.4751667	17.69167	3.928371	15.55434	19.48271	0.3844424	0.4915248	0.8158841	42.86363	17.78307	1.3077731	63.64632
ATG302B	35SARK2	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG302C	35SARK2	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG302D	35SARK2	N	NoGA	2	53.61369	45.12814	0.4806	16.38	3.352635	17.82605	21.17868	0.3851678	0.4969991	1.1583377	42.88225	14.66895	1.4705882	61.06229
ATG302E	miRNA2	OW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG302F	miRNA2	TW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG302G_2	miRNA2	OW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG303A	717	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG303B	717	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG303C	717	TW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG303D	717	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG303E	717	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG303F	717	TW	NoGA	2	16.08825	54.2284	0.4831667	18.41667	3.370633	13.53688	16.90752	0.4384016	0.6771255	3.8671631	48.78302	14.76771	1.0002299	69.53365
ATG304A	717	OW	NoGA	2	53.54181	44.24238	0.4965	18.56667	3.945536	18.81488	22.76042	0.3473348	0.4374237	0.7277412	44.90296	18.06366	1.7949948	66.27412
ATG304B	miRNA2	TW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG304C	717	OW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG304D	35SARK2	OW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG304E	717	OW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG304F	miRNA2	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG305A	miRNA2	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG305B	35SARK2	TW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG305C	35SARK2	OW	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG305D	miRNA2	N	NoGA	2	63.89145	46.00535	0.4882	17.44	3.962328	14.79465	18.75698	0.3780295	0.4566275	1.0526328	44.60466	17.76335	1.1404523	65.39575
ATG305E	miRNA2	N	NoGA	2	63.89145	46.00535	0.4882	17.44	3.962328	14.79465	18.75698	0.3780295	0.4566275	1.0526328	44.60466	17.76335	1.1404523	65.39575
ATG305F	miRNA2	N	GA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
