gene_1,gene_2,a1,a2,a3,a4,a5,a6
Potri.008G042100,Potri.010G219900,1,0,0.74416,1,popSegDup_0,0.05721
Potri.008G042300,Potri.010G219600,1,0,0.8031,1,popSegDup_0,0.06291
Potri.008G042500,Potri.010G218700,1,1,0.97532,1,popSegDup_0,0.19128
Potri.008G042500,NaN,1,1,0.97747,1,popSegDup_0,0.21766
Potri.008G042800,Potri.010G219000,1,0,0.67647,1,popSegDup_0,0.14688
Potri.008G043000,Potri.010G219200,1,0,0.77391,1,popSegDup_0,0.09237
Potri.008G043100,Potri.010G218700,1,1,0.97639,1,popSegDup_0,0.21946
Potri.008G043100,NaN,1,1,0.97747,1,popSegDup_0,0.26857
Potri.008G043700,Potri.010G217900,1,0,0.80229,1,popSegDup_0,0.11272
Potri.008G043800,Potri.010G217800,1,0,0.94203,1,popSegDup_0,0.09116
Potri.008G043900,Potri.010G217700,1,0,0.8,1,popSegDup_0,0.07029
Potri.008G044100,Potri.010G217400,1,0,0.93088,1,popSegDup_0,0.14813
Potri.008G044200,Potri.010G217300,1,0,0.78696,1,popSegDup_0,*
Potri.008G044400,Potri.010G217100,1,0,1,1,popSegDup_0,0.10034
Potri.008G044700,Potri.010G216800,1,0,0.91271,1,popSegDup_0,0.13118
Potri.008G044800,Potri.010G216600,1,0,0.79849,1,popSegDup_0,0.06258
Potri.008G045000,Potri.010G216400,1,0,0.70588,1,popSegDup_0,0.03531
Potri.008G045300,Potri.010G216200,1,0,0.69374,1,popSegDup_0,0.13677
Potri.008G045400,Potri.010G216100,1,0,0.87771,1,popSegDup_0,0.07036
Potri.008G045700,Potri.010G216000,1,0,0.71681,1,popSegDup_0,0.12147
Potri.008G045800,Potri.010G215900,1,0,0.94715,1,popSegDup_0,0.0759
Potri.008G045900,Potri.010G215700,1,0,0.91181,1,popSegDup_0,0.09787
Potri.008G046100,Potri.010G215300,1,0,0.80833,1,popSegDup_0,0.08979
Potri.008G046500,Potri.010G215100,1,0,0.94125,1,popSegDup_0,0.09116
Potri.008G046600,Potri.010G215000,1,0,0.84338,1,popSegDup_0,0.0817
Potri.008G046900,Potri.010G214700,1,0,0.93142,1,popSegDup_0,0.05721
Potri.008G047100,Potri.010G214600,1,0,0.79795,1,popSegDup_0,0.03705
Potri.008G047200,Potri.010G214300,1,0,0.80344,1,popSegDup_0,0.05561
Potri.008G047500,Potri.010G213900,1,0,0.98537,1,popSegDup_0,0.02565
Potri.008G047600,Potri.010G213800,1,0,0.69445,1,popSegDup_0,0.07794
Potri.008G047700,Potri.010G213700,1,0,0.75273,1,popSegDup_0,0.07155
NaN,Potri.010G213600,1,0,0.68037,1,popSegDup_0,0.09116
Potri.008G047900,Potri.010G213400,1,0,0.79558,1,popSegDup_0,0.13751
Potri.008G048100,Potri.010G212900,1,0,0.60291,1,popSegDup_0,0.12181
Potri.008G048300,Potri.010G212800,1,0,0.64151,1,popSegDup_0,0.0759
Potri.008G048400,Potri.010G212700,1,0,0.89819,1,popSegDup_0,0.09221
Potri.008G048500,Potri.010G212600,1,0,0.67622,1,popSegDup_0,0.04766
Potri.008G048700,Potri.010G212400,1,0,0.76607,1,popSegDup_0,0.09765
Potri.008G048800,Potri.010G212300,1,0,0.9465,1,popSegDup_0,0.25541
Potri.008G049000,Potri.010G212200,1,0,0.85607,1,popSegDup_0,0.14384
Potri.008G048900,Potri.010G212100,1,0,0.97584,1,popSegDup_0,0.0961
Potri.008G049300,Potri.010G211600,1,0,0.90233,1,popSegDup_0,0.11157
Potri.008G049500,Potri.010G211400,1,0,0.85813,1,popSegDup_0,0.07382
Potri.008G049600,Potri.010G211300,1,0,0.88406,1,popSegDup_0,0.08623
Potri.008G049700,Potri.010G211100,1,0,0.85561,1,popSegDup_0,0.05757
Potri.008G049900,Potri.010G210900,1,0,0.75482,1,popSegDup_0,0.05766
Potri.008G050200,Potri.010G210300,1,0,0.85246,1,popSegDup_0,0.11413
Potri.008G050400,Potri.010G210100,1,0,0.92281,1,popSegDup_0,0.0846
Potri.008G050700,Potri.010G209900,1,0,0.91903,1,popSegDup_0,0.21372
Potri.008G051200,Potri.010G209400,1,0,0.77297,1,popSegDup_0,0.11819
Potri.008G051300,Potri.010G209300,1,0,0.72734,1,popSegDup_0,0.09116
Potri.008G051500,Potri.010G209200,1,0,0.84596,1,popSegDup_0,0.07982
Potri.008G051600,Potri.010G209000,1,0,0.9586,1,popSegDup_0,0.0915
Potri.008G051700,Potri.010G208900,1,0,0.97733,1,popSegDup_0,0.08017
Potri.008G051900,Potri.010G208700,1,0,0.80967,1,popSegDup_0,0.11479
Potri.008G052000,Potri.010G208600,1,0,0.64833,1,popSegDup_0,0.03705
Potri.008G052100,NaN,1,0,0.6,1,popSegDup_0,0
Potri.008G052400,Potri.010G208400,1,0,0.84935,1,popSegDup_0,0.08857
NaN,Potri.010G208200,1,0,0.66346,1,popSegDup_0,0.08873
Potri.008G053100,Potri.010G207200,1,0,0.96957,1,popSegDup_0,0.03962
Potri.008G053500,Potri.010G207000,1,0,0.91948,1,popSegDup_0,0.15508
Potri.008G053800,Potri.010G206800,1,0,0.90598,1,popSegDup_0,0.21372
Potri.008G054000,Potri.010G205800,1,1,0.95252,1,popSegDup_0,0.21405
Potri.008G054000,Potri.010G206600,1,1,0.97033,1,popSegDup_0,0.18865
Potri.008G054100,Potri.010G206400,1,0,0.91352,1,popSegDup_0,0.09679
Potri.008G054400,Potri.010G206100,1,0,0.83308,1,popSegDup_0,0.05089
Potri.008G054900,Potri.010G206600,1,1,0.71481,1,popSegDup_0,0.24029
Potri.008G054900,Potri.010G205800,1,1,0.71037,1,popSegDup_0,0.2832
Potri.008G055100,Potri.010G205400,1,0,0.6652,1,popSegDup_0,0.17242
Potri.008G055200,Potri.010G205100,1,0,0.63756,1,popSegDup_0,0.13235
Potri.008G055300,Potri.010G204500,1,0,0.88285,1,popSegDup_0,0.14925
Potri.008G055400,Potri.010G204400,1,0,0.92747,1,popSegDup_0,0.11157
Potri.008G055500,Potri.010G204300,1,0,0.9962,1,popSegDup_0,0.07577
Potri.008G055600,NaN,1,0,0.60818,1,popSegDup_0,0.07155
Potri.008G055700,Potri.010G204000,1,0,0.94118,1,popSegDup_0,0.04601
Potri.008G055800,Potri.010G203900,1,0,0.89619,1,popSegDup_0,0.08795
Potri.008G056100,Potri.010G203700,1,0,0.79969,1,popSegDup_0,0.0679
NaN,Potri.010G203600,1,0,0.74004,1,popSegDup_0,0.08593
Potri.008G056300,Potri.010G203500,1,0,0.87669,1,popSegDup_0,0.04213
Potri.008G056400,Potri.010G203400,1,0,0.87558,1,popSegDup_0,0.11704
Potri.008G056600,Potri.010G203200,1,0,0.60589,1,popSegDup_0,0.07259
NaN,Potri.010G203000,1,0,0.78116,1,popSegDup_0,0.05004
Potri.008G057100,Potri.010G202500,1,0,0.93421,1,popSegDup_0,0.08353
Potri.008G057300,Potri.010G202400,1,0,0.68278,1,popSegDup_0,0.11977
Potri.008G057500,Potri.010G202100,1,0,0.91549,1,popSegDup_0,0.08655
Potri.008G057600,Potri.010G201900,1,0,0.62639,1,popSegDup_0,*
Potri.008G057800,Potri.010G201700,1,0,0.81034,1,popSegDup_0,*
Potri.008G058000,Potri.010G201400,1,0,0.7844,1,popSegDup_0,0.15114
Potri.008G058100,Potri.010G201300,1,0,0.6433,1,popSegDup_0,0.09765
Potri.008G058200,Potri.010G201200,1,0,0.8995,1,popSegDup_0,0.09052
Potri.008G058300,Potri.010G201100,1,0,0.84427,1,popSegDup_0,0.10034
Potri.008G058400,Potri.010G200600,1,0,0.64756,1,popSegDup_0,0.19198
Potri.008G0585000,Potri.010G200500,1,0,0.94366,1,popSegDup_0,0.05411
Potri.008G058700,Potri.010G200100,1,0,0.74265,1,popSegDup_0,0.10515
Potri.008G058800,Potri.010G200000,1,0,0.87838,1,popSegDup_0,0.04619
Potri.008G058900,Potri.010G199900,1,0,0.73636,1,popSegDup_0,0.13413
NaN,NaN,1,0,0.63325,1,popSegDup_0,0.24624
Potri.008G059000,Potri.010G199800,1,0,0.66877,1,popSegDup_0,0.10913
Potri.008G059100,NaN,1,0,0.62896,1,popSegDup_0,*
Potri.008G059200,Potri.010G199600,1,0,0.77407,1,popSegDup_0,0.20273
Potri.008G059400,Potri.010G199400,1,0,0.96983,1,popSegDup_0,0.12566
NaN,NaN,1,0,0.80962,1,popSegDup_0,0.05776
Potri.008G059500,Potri.010G199300,1,0,0.84984,1,popSegDup_0,0.04906
Potri.008G059600,Potri.010G199200,1,0,0.94848,1,popSegDup_0,0.02804
Potri.008G059800,Potri.010G199100,1,0,0.87678,1,popSegDup_0,0.09909
Potri.008G060000,Potri.010G199000,1,0,0.89344,1,popSegDup_0,0.17242
Potri.008G060100,Potri.010G198800,1,0,0.96206,1,popSegDup_0,0.03541
Potri.008G060200,Potri.010G198400,1,0,0.84949,1,popSegDup_0,0.09116
Potri.008G060300,Potri.010G198300,1,0,0.73201,1,popSegDup_0,0.06908
Potri.008G060400,Potri.010G198000,1,0,0.90802,1,popSegDup_0,0.15005
Potri.008G060700,Potri.010G197700,1,0,0.83486,1,popSegDup_0,0.11339
Potri.008G060800,Potri.010G197600,1,0,0.96677,1,popSegDup_0,0.11003
Potri.008G060900,Potri.010G197400,1,0,0.89769,1,popSegDup_0,0.06094
Potri.008G061300,Potri.010G197200,1,0,0.94222,1,popSegDup_0,0.16139
Potri.008G061600,Potri.010G196500,1,0,0.77381,1,popSegDup_0,*
Potri.008G061700,Potri.010G196400,1,0,0.62609,1,popSegDup_0,0.10034
Potri.008G061800,Potri.010G196300,1,0,0.88934,1,popSegDup_0,0.13979
Potri.008G062000,Potri.010G196000,1,0,0.81636,1,popSegDup_0,0.07104
Potri.008G062200,Potri.010G195800,1,0,0.74138,1,popSegDup_0,0.13919
Potri.008G062300,Potri.010G195700,1,0,0.86061,1,popSegDup_0,0.22599
Potri.008G062500,Potri.010G195200,1,0,0.89978,1,popSegDup_0,0.09403
Potri.008G062700,Potri.010G195000,1,0,0.65749,1,popSegDup_0,0.01351
Potri.008G062900,Potri.010G194600,1,0,0.89317,1,popSegDup_0,0.09116
Potri.008G063000,Potri.010G194400,1,0,1,1,popSegDup_0,*
Potri.008G063100,Potri.010G194300,1,0,0.85294,1,popSegDup_0,0.06258
Potri.008G063200,Potri.010G194200,1,0,0.97835,1,popSegDup_0,0.12181
Potri.008G063400,Potri.010G194100,1,0,0.96921,1,popSegDup_0,0.11157
Potri.008G063600,Potri.010G193800,1,0,0.96134,1,popSegDup_0,0.03848
Potri.008G064000,Potri.010G193100,1,0,0.91819,1,popSegDup_0,0.07788
Potri.008G064200,Potri.010G193000,1,0,0.7945,1,popSegDup_0,0.06567
Potri.008G064400,Potri.010G192900,1,0,0.9147,1,popSegDup_0,0.06437
Potri.008G064500,Potri.010G192800,1,0,0.61891,1,popSegDup_0,0.10896
Potri.008G065000,Potri.010G192400,1,0,0.7478,1,popSegDup_0,0.13413
Potri.008G065200,Potri.010G192200,1,0,0.94488,1,popSegDup_0,0.04942
Potri.008G065400,Potri.010G192100,1,0,0.80679,1,popSegDup_0,0.08847
Potri.008G065600,Potri.010G191900,1,0,0.95939,1,popSegDup_0,0.12689
Potri.008G065800,Potri.010G191700,1,0,0.89115,1,popSegDup_0,0.10293
Potri.008G066000,Potri.010G191300,1,0,0.81946,1,popSegDup_0,0.15793
Potri.008G066200,Potri.010G191200,1,0,0.84427,1,popSegDup_0,0.12307
Potri.008G066400,Potri.010G191000,1,0,0.93163,1,popSegDup_0,0.08718
Potri.008G066700,Potri.010G190500,1,0,0.91026,1,popSegDup_0,0.18386
Potri.008G066800,Potri.010G190400,1,0,0.71004,1,popSegDup_0,0.07562
Potri.008G066900,Potri.010G190300,1,0,0.84897,1,popSegDup_0,0.08962
Potri.008G067000,Potri.010G190100,1,0,0.63097,1,popSegDup_0,*
Potri.008G067100,Potri.010G190000,1,0,0.95185,1,popSegDup_0,0.13413
Potri.008G067400,Potri.010G189900,1,0,0.70487,1,popSegDup_0,0.05411
Potri.008G067500,Potri.010G189800,1,0,0.79461,1,popSegDup_0,0.10293
Potri.008G067600,Potri.010G189700,1,0,0.67626,1,popSegDup_0,0.0613
Potri.008G067700,Potri.010G189600,1,0,0.66262,1,popSegDup_0,0.0733
Potri.008G068000,Potri.010G189300,1,0,0.67041,1,popSegDup_0,0.235
Potri.008G068100,Potri.010G189200,1,0,0.91237,1,popSegDup_0,0.11157
Potri.008G068300,Potri.010G188900,1,0,0.8896,1,popSegDup_0,0.06813
Potri.008G068800,Potri.010G188500,1,0,0.74881,1,popSegDup_0,0.09116
Potri.008G069100,Potri.010G188200,1,0,0.78013,1,popSegDup_0,0.07584
NaN,Potri.010G188100,1,0,0.70632,1,popSegDup_0,0.24477
Potri.008G069200,NaN,1,0,0.86842,1,popSegDup_0,0.12566
Potri.008G069300,Potri.010G188000,1,0,0.90336,1,popSegDup_0,0.13331
Potri.008G069400,Potri.010G187900,1,0,0.73852,1,popSegDup_0,0.06843
Potri.008G069600,Potri.010G187800,1,0,0.91684,1,popSegDup_0,0.04882
Potri.008G069900,Potri.010G187600,1,0,0.86752,1,popSegDup_0,0.06491
Potri.008G070400,Potri.010G187000,1,0,0.72682,1,popSegDup_0,0.06807
Potri.008G070600,Potri.010G186900,1,0,0.94899,1,popSegDup_0,0.12503
Potri.008G070700,Potri.010G186800,1,0,0.87553,1,popSegDup_0,0.01613
Potri.008G070800,Potri.010G186700,1,0,0.93433,1,popSegDup_0,0.04481
Potri.008G071200,Potri.010G186300,1,0,0.8838,1,popSegDup_0,0.11062
Potri.008G071500,Potri.010G186000,1,0,0.78628,1,popSegDup_0,0
Potri.008G071600,Potri.010G185900,1,0,0.83843,1,popSegDup_0,0.0686
Potri.008G071700,Potri.010G185700,1,0,0.6178,1,popSegDup_0,0.1024
Potri.008G071800,Potri.010G185600,1,0,0.84694,1,popSegDup_0,0.12467
Potri.008G072000,Potri.010G185400,1,0,0.87166,1,popSegDup_0,0.04084
Potri.008G072100,Potri.010G185300,1,0,0.74516,1,popSegDup_0,0.06068
Potri.008G072400,Potri.010G185100,1,0,0.7933,1,popSegDup_0,0.14704
Potri.008G072500,Potri.010G184900,1,0,0.815,1,popSegDup_0,0.06908
Potri.008G072600,Potri.010G184600,1,0,0.80526,1,popSegDup_0,0.13544
Potri.008G072700,Potri.010G184500,1,0,0.84095,1,popSegDup_0,0.03391
Potri.008G072800,Potri.010G184400,1,0,0.90962,1,popSegDup_0,0.02565
Potri.008G073300,Potri.010G184000,1,0,0.86957,1,popSegDup_0,0.13171
Potri.008G073400,Potri.010G183900,1,0,0.83937,1,popSegDup_0,0.1736
Potri.008G073600,Potri.010G183700,1,0,0.66223,1,popSegDup_0,0.07259
Potri.008G073700,Potri.010G183500,1,0,0.80941,1,popSegDup_0,0.29179
Potri.008G074000,Potri.010G183300,1,0,0.78072,1,popSegDup_0,0.10913
Potri.008G074100,Potri.010G183200,1,0,0.78639,1,popSegDup_0,0.11003
Potri.008G074600,Potri.010G182800,1,0,0.7767,1,popSegDup_0,0.27981
Potri.008G075100,Potri.010G182300,1,0,0.74752,1,popSegDup_0,0.07155
Potri.008G075300,Potri.010G182100,1,0,0.72798,1,popSegDup_0,0.06315
Potri.008G075400,Potri.010G181900,1,0,0.95616,1,popSegDup_0,0.04415
Potri.008G075900,Potri.010G181400,1,0,0.65198,1,popSegDup_0,0.09679
Potri.008G076100,Potri.010G181200,1,0,0.90071,1,popSegDup_0,*
Potri.008G076400,Potri.010G181000,1,0,0.78958,1,popSegDup_0,0.09553
Potri.008G077000,Potri.010G180800,1,0,0.85343,1,popSegDup_0,0.02485
Potri.008G077100,Potri.010G180600,1,0,0.68765,1,popSegDup_0,0.07083
Potri.008G077300,Potri.010G180500,1,0,0.8968,1,popSegDup_0,0.08441
Potri.008G077400,Potri.010G180400,1,0,0.8392,1,popSegDup_0,0.04906
Potri.008G077700,Potri.010G179700,1,0,0.91989,1,popSegDup_0,0.1159
Potri.008G077900,Potri.010G179400,1,0,0.84682,1,popSegDup_0,0.04304
Potri.008G078000,Potri.010G179300,1,0,0.63317,1,popSegDup_0,0.10382
Potri.008G078200,Potri.010G179000,1,0,0.6193,1,popSegDup_0,0.05721
NaN,Potri.010G178700,1,0,0.66548,1,popSegDup_0,0.14925
Potri.008G078500,Potri.010G178600,1,0,0.61767,1,popSegDup_0,0.07604
Potri.008G078600,Potri.010G178400,1,0,0.77452,1,popSegDup_0,0.14489
Potri.008G078800,Potri.010G178200,1,0,0.75619,1,popSegDup_0,0.14516
Potri.008G078900,Potri.010G178100,1,0,0.85462,1,popSegDup_0,0.0899
Potri.008G079300,Potri.010G177400,1,0,0.78266,1,popSegDup_0,0.0876
Potri.008G079500,Potri.010G177300,1,0,0.65925,1,popSegDup_0,0.04655
Potri.008G079700,Potri.010G177200,1,0,0.88809,1,popSegDup_0,0.08999
Potri.008G079800,Potri.010G177100,1,0,0.8129,1,popSegDup_0,0.18051
Potri.008G080000,Potri.010G176600,1,0,0.93058,1,popSegDup_0,0.04002
Potri.008G080100,Potri.010G176500,1,0,0.8988,1,popSegDup_0,0.07501
Potri.008G080300,Potri.010G176300,1,0,0.74007,1,popSegDup_0,0.07497
Potri.008G080500,Potri.010G176000,1,0,0.96767,1,popSegDup_0,0.05474
Potri.008G080600,Potri.010G175900,1,0,0.86473,1,popSegDup_0,0.0995
Potri.008G080800,Potri.010G1755001,1,0,0.76434,1,popSegDup_0,0.0899
Potri.008G081000,Potri.010G175300,1,0,0.81053,1,popSegDup_0,0.092
Potri.008G081100,Potri.010G175000,1,0,0.81995,1,popSegDup_0,0.08353
Potri.008G081300,Potri.010G174800,1,0,0.79477,1,popSegDup_0,0.10504
Potri.008G081500,Potri.010G174600,1,0,0.83264,1,popSegDup_0,0.0686
Potri.008G081600,Potri.010G174500,1,0,0.64163,1,popSegDup_0,0.09787
Potri.008G081700,Potri.010G174200,1,0,0.95483,1,popSegDup_0,0.11938
Potri.008G081800,Potri.010G174100,1,0,0.83663,1,popSegDup_0,0.04766
Potri.008G082100,Potri.010G173900,1,0,0.84699,1,popSegDup_0,0.08158
Potri.008G082800,Potri.010G173600,1,0,0.88178,1,popSegDup_0,0.09344
Potri.008G083100,Potri.010G173300,1,0,0.77808,1,popSegDup_0,0.08181
Potri.008G083600,Potri.010G172600,1,0,0.87573,1,popSegDup_0,0.08623
Potri.008G083900,Potri.010G172400,1,0,0.94948,1,popSegDup_0,0.09962
Potri.008G084500,Potri.010G171500,1,0,0.93952,1,popSegDup_0,0.05656
Potri.008G084800,Potri.010G170000,1,0,0.97795,1,popSegDup_0,0.08462
Potri.008G085000,Potri.010G170300,1,0,0.85109,1,popSegDup_0,0.13323
Potri.008G085400,Potri.010G170700,1,0,0.62879,1,popSegDup_0,0.14226
Potri.008G085700,Potri.010G171100,1,0,0.86145,1,popSegDup_0,0.14852
Potri.008G085800,Potri.010G169800,1,0,0.90185,1,popSegDup_0,0.0938
Potri.008G086000,Potri.010G169400,1,0,0.65755,1,popSegDup_0,0.12566
Potri.008G086300,Potri.010G169200,1,0,0.81315,1,popSegDup_0,0.12392
Potri.008G086400,Potri.010G169100,1,0,0.81973,1,popSegDup_0,0.05651
Potri.008G086500,Potri.010G169000,1,0,0.86699,1,popSegDup_0,0.08752
Potri.008G086800,Potri.010G168700,1,0,0.67511,1,popSegDup_0,0.39925
Potri.008G086900,Potri.010G168500,1,0,0.87001,1,popSegDup_0,0.08407
Potri.008G087000,Potri.010G168400,1,0,0.89918,1,popSegDup_0,0.13515
Potri.008G087200,Potri.010G168300,1,0,0.84549,1,popSegDup_0,0.01923
Potri.008G087600,NaN,1,0,0.63585,1,popSegDup_0,0.13544
Potri.008G088000,Potri.010G167500,1,0,0.7395,1,popSegDup_0,0.05159
Potri.008G088200,Potri.010G167300,1,0,0.8084,1,popSegDup_0,0.07054
Potri.008G088300,Potri.010G167200,1,0,0.95312,1,popSegDup_0,0.11681
Potri.008G088600,Potri.010G1671000,1,0,0.80123,1,popSegDup_0,0.10455
Potri.008G088800,Potri.010G166500,1,0,0.8878,1,popSegDup_0,0.06007
Potri.008G089000,Potri.010G166200,1,0,0.81426,1,popSegDup_0,0.11339
