BioSample_s	Library_Name_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	genotype_s	sample_ID_s	tissue_s	treatment_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LoadDate_s	Organism_s	Platform_s	SRA_Study_s	age_s	biomaterial_provider_s	cultivar_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	sample_type_s	source_s
SAMN02769422	WT-X-RC2	1103	799	12-May-15	SRR1293466	SRS616293	WT-X-RC2	wild type	X66	xylem	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769423	WT-X-RC3	1121	810	12-May-15	SRR1293467	SRS616294	WT-X-RC3	wild type	X67	xylem	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769424	SUT4-X-WW1	1145	828	12-May-15	SRR1293468	SRS616295	SUT4-X-WW1	SUT4-RNAi transgenic	X86	xylem	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769425	SUT4-X-WW2	1172	868	12-May-15	SRR1293469	SRS616296	SUT4-X-WW2	SUT4-RNAi transgenic	X87	xylem	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769426	SUT4-X-WW3	1344	955	12-May-15	SRR1293470	SRS616297	SUT4-X-WW3	SUT4-RNAi transgenic	X88	xylem	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769427	SUT4-X-DR1	1474	944	22-Jul-15	SRR1293471	SRS616298	SUT4-X-DR1	SUT4-RNAi transgenic	X46	xylem	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769428	SUT4-X-DR2	1297	831	22-Jul-15	SRR1293472	SRS616299	SUT4-X-DR2	SUT4-RNAi transgenic	X47	xylem	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769429	SUT4-X-DR3	1181	757	22-Jul-15	SRR1293473	SRS616300	SUT4-X-DR3	SUT4-RNAi transgenic	X56	xylem	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769430	SUT4-X-RC1	1109	827	12-May-15	SRR1293474	SRS616301	SUT4-X-RC1	SUT4-RNAi transgenic	X76	xylem	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769431	SUT4-X-RC2	1189	884	12-May-15	SRR1293475	SRS616302	SUT4-X-RC2	SUT4-RNAi transgenic	X80	xylem	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769432	SUT4-X-RC3	1067	792	12-May-15	SRR1293476	SRS616303	SUT4-X-RC3	SUT4-RNAi transgenic	X85	xylem	recovery	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769433	WT-R-WW1	1256	923	12-May-15	SRR1293477	SRS616304	WT-R-WW1	wild type	R58	root	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769434	WT-R-WW2	1205	890	12-May-15	SRR1293478	SRS616305	WT-R-WW2	wild type	R71	root	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769435	WT-R-WW3	974	723	12-May-15	SRR1293479	SRS616306	WT-R-WW3	wild type	R73	root	control	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
SAMN02769436	WT-R-DR1	1100	827	12-May-15	SRR1293480	SRS616307	WT-R-DR1	wild type	R61	root	drought	RNA-Seq	<not provided>	PRJNA247387	Plant	UNIVERSITY OF GEORGIA	public	0	PAIRED	21-May-14	Populus tremula x Populus alba	ILLUMINA	SRP041959	missing	"Tsai Lab, University of Georgia, 120 Green Street, Athens, GA 30602-7223"	717-1B4	<not provided>	<not provided>	missing	tissue sample	<not provided>
